Country,GDP,CEX,pop_density,urbanization,gini,IDV,IND,LTO,MAS,PDI,UAI
Kyrgyzstan,3500.00,2942.00,29.00,35.3,27.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cambodia,3700.00,2144.00,86.00,20,30.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
South Korea,37900.00,15720.00,507.00,91.8,31.3,18,29,100,39,60,85
Kosovo,10000.00,#N/A,166.00,#N/A,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kuwait,71300.00,17639.00,225.00,98.3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Laos,5700.00,2582.00,28.00,34.3,37.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lebanon,18500.00,10635.00,587.00,87.8,,40,25,14,65,75,50
Liberia,900.00,693.00,42.00,48.2,36.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Libya,14200.00,2971.60,4.00,#N/A,,38,34,23,52,80,68
Sri Lanka,11200.00,5326.00,343.00,15.1,38.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lesotho,3100.00,2296.00,68.00,27.6,54.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,29900.00,14665.00,43.00,67.1,35.2,60,16,82,19,42,65
Luxembourg,102000.00,26054.00,208.00,85.4,34.8,60,56,64,50,40,70
Latvia,25700.00,11881.00,31.00,67.7,35.5,70,13,69,9,44,63
Morocco,8400.00,3678.00,76.72,57,40.7,46,25,14,53,70,68
Moldova,5200.00,3933.00,105.00,47.7,28.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Madagascar,1500.00,1140.00,35.00,32.6,40.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mexico,18900.00,9406.00,62.00,79.2,48.2,30,97,24,69,81,82
Macedonia,14500.00,7237.00,81.00,59.3,43.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mali,2300.00,1112.00,12.00,34.9,33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Myanmar,#N/A,#N/A,80.00,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montenegro,17000.00,9386.00,45.00,63.3,33.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mongolia,12200.00,5617.00,2.00,68.5,33.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mozambique,1200.00,767.00,30.00,31.2,45.6,15,80,11,38,85,44
Mauritania,4400.00,1709.00,3.00,41.5,37.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malawi,1100.00,507.00,121.00,16.2,46.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malaysia,27200.00,10965.00,96.69,54.1,46.3,26,57,41,50,100,36
Namibia,11800.00,6787.00,3.00,38.4,61.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New Caledonia,38800.00,#N/A,14.00,61.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Niger,1100.00,563.00,14.00,18.7,31.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nigeria,5900.00,3930.00,202.00,49.6,43,30,84,13,60,80,55
Nicaragua,5300.00,3721.00,50.00,57.5,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,50800.00,19072.00,412.12,83.2,28,80,68,67,14,38,53
Norway,69300.00,24024.00,16.00,79.4,25.9,69,55,35,8,31,50
Nepal,2500.00,1749.00,180.00,31,32.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New Zealand,37100.00,18148.00,17.66,86.3,36.2,79,75,33,58,22,49
Oman,43700.00,11996.00,14.00,73.4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pakistan,5100.00,3597.00,244.61,36.2,29.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Panama,22800.00,10281.00,46.00,75.3,50.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Peru,13000.00,6749.00,24.00,77.3,44.1,16,46,25,42,64,87
Philippines,7700.00,4527.00,345.84,76,43,32,42,27,64,94,44
Papua New Guinea,3500.00,#N/A,16.00,12.5,43.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Poland,27700.00,12977.00,123.00,60.9,32.4,60,29,38,64,68,93
Puerto Rico,37700.00,16235.00,385.00,98.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North Korea,1800.00,#N/A,201.00,60.3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Portugal,28500.00,15513.00,112.00,61.1,36,27,33,28,31,63,99
Paraguay,9400.00,5470.00,16.00,61.9,48.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Palestine,#N/A,3405.00,756.00,#N/A,35.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Qatar,129700.00,14334.00,175.00,98.8,41.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Romania,22300.00,10791.00,83.00,54,27.3,30,20,52,42,90,90
Russia,26100.00,12877.00,8.00,73.8,41.6,39,20,81,36,93,95
Rwanda,1900.00,1242.00,469.00,19.1,50.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Western Sahara,2500.00,#N/A,2.00,82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Saudi Arabia,54100.00,15124.00,14.00,82.3,,25,52,36,60,95,80
Sudan,4500.00,2099.00,17.00,33.2,35.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
South Sudan,1700.00,1278.00,18.00,17.8,45.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Senegal,2600.00,1595.00,75.00,42.5,40.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Solomon Islands,2000.00,#N/A,18.00,20.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sierra Leone,1700.00,899.00,99.00,39.2,34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
El Salvador,8900.00,6871.00,301.00,64.8,41.8,19,89,20,40,66,94
Somaliland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Somalia,400.00,#N/A,15.00,37.7,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Republic of Serbia,14200.00,6264.00,91.00,56.4,29.7,25,28,52,43,86,92
Suriname,15200.00,#N/A,3.00,69.7,57.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovakia,31200.00,13175.00,111.00,54.7,26.1,52,28,77,100,100,51
Slovenia,32000.00,13566.00,102.00,49.9,25.6,27,48,49,19,71,88
Sweden,49700.00,20089.00,22.27,86,27.3,71,78,53,5,31,29
Swaziland,9800.00,3917.00,72.00,21.2,51.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Syria,2900.00,#N/A,100.00,56.1,35.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chad,2600.00,1262.00,9.00,21.8,43.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Togo,1500.00,1589.00,126.00,38,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Thailand,16800.00,7084.00,128.00,48.8,39.3,20,45,32,34,64,64
